"filename", "language", "Shell Script", "JavaScript", "Python", "Java Properties", "Less", "Java", "JavaScript React", "TypeScript React", "Markdown", "TypeScript", "XML", "JSON", "HTML", "CSS", "JSON with Comments", "Properties", "comment", "blank", "total"
"/home/lewis/winterwell/my-loop/src/js/components/pages/greendash/TimeSeriesCard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 30, 266
"/home/lewis/winterwell/my-loop/src/js/components/pages/greendash/carboncalc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 272, 33, 305
"/home/lewis/winterwell/my-loop/src/js/components/pages/greendash/dashutils.js", "JavaScript", 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 59, 399
"/home/lewis/winterwell/my-loop/src/js/components/pages/greendash/emissionscalc.js", "JavaScript", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 30, 315
"/home/lewis/winterwell/my-loop/src/js/components/pages/greendash/emissionscalcTs.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 15, 10, 113
"/home/lewis/winterwell/my-loop/src/js/components/pages/greendash/maputils.js", "JavaScript", 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 258
"/home/lewis/winterwell/my-loop/src/js/components/svg.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8, 63
"/home/lewis/winterwell/my-loop/src/js/data/Budget.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 30
"/home/lewis/winterwell/my-loop/src/js/data/Publisher.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/home/lewis/winterwell/my-loop/src/js/data/PublisherList.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 45
"/home/lewis/winterwell/my-loop/src/js/data/WebSite.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 17
"/home/lewis/winterwell/my-loop/src/js/newtab.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 20
"/home/lewis/winterwell/my-loop/src/js/plumbing/ActionMan.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 19
